dat_Subject,list,display_order,type,id,con,fab_stimulus,fab_question,fab_key,fab_instruction,fab_feedback,dat_Trial,dat_LoopNumber,dat_LoopSum,dat_AreaNumber,dat_AreaSum,dat_Ans,dat_AnsReactionTime,dat_Accuracy,dat_GD,dat_NRO,dat_NRI,dat_PRO,dat_PRI,dat_RPD,dat_SRPD,dat_RRT,dat_TRT,dat_NOF,dat_MFD
201,1,p1,practice,practice_1,,/+/The patient listened to the doctor's advice after he felt hopeless./,Did the patient follow the doctor?,Y,ins.jpg,1,1,1,1,1,1,Y,14605,1,2944,0,0,0.0000,0.0000,2944,2944,0,2944,1,2944
201,1,p1,practice,practice_1,,/+/The patient listened to the doctor's advice after he felt hopeless./,Did the patient follow the doctor?,Y,ins.jpg,1,1,2,11,1,11,Y,14605,1,6374,0,0,0.0000,0.0000,6374,6374,0,6374,1,6374
201,1,p2,practice,practice_2,,/+/The visitors knew little about how the painting was created./,Did the visitors know how the painting was created?,N,,1,2,1,1,1,1,N,5509,1,2661,0,0,0.0000,0.0000,2661,2661,0,2661,1,2661
201,1,p2,practice,practice_2,,/+/The visitors knew little about how the painting was created./,Did the visitors know how the painting was created?,N,,1,2,2,10,1,10,N,5509,1,13817,0,0,0.0000,0.0000,13817,13817,0,13817,1,13817
201,1,p3,practice,practice_3,,/+/The old lady lived further away from the city center./,Did the old lady live in the city center?,N,,1,3,1,1,1,1,N,3622,1,1814,0,0,0.0000,0.0000,1814,1814,0,1814,1,1814
201,1,p3,practice,practice_3,,/+/The old lady lived further away from the city center./,Did the old lady live in the city center?,N,,1,3,2,10,1,10,N,3622,1,3974,0,0,0.0000,0.0000,3974,3974,0,3974,1,3974
201,1,p4,practice,practice_4,,/+/The maid looked at the hostess with a nervous smile./,Did the maid feel nervous? ,Y,,1,4,1,1,1,1,Y,2779,1,1268,0,0,0.0000,0.0000,1268,1268,0,1268,1,1268
201,1,p4,practice,practice_4,,/+/The maid looked at the hostess with a nervous smile./,Did the maid feel nervous? ,Y,,1,4,2,10,1,10,Y,2779,1,6756,0,0,0.0000,0.0000,6756,6756,0,6756,1,6756
201,1,p5,practice,practice_5,,/+/The young lady * sent a red rose * became * really embarrassed./,Did the lady send a red rose?,N,,1,5,1,1,1,1,Y,5651,0,760,0,0,0.0000,0.0000,760,760,0,760,1,760
201,1,p5,practice,practice_5,,/+/The young lady * sent a red rose * became * really embarrassed./,Did the lady send a red rose?,N,,1,5,2,10,1,3,Y,5651,0,900,0,1,0.0000,0.5000,900,900,1640,2540,2,1270
201,1,p5,practice,practice_5,,/+/The young lady * sent a red rose * became * really embarrassed./,Did the lady send a red rose?,N,,1,5,2,10,2,4,Y,5651,0,1172,1,1,0.3333,0.3333,1172,1172,2979,4151,3,1384
201,1,p5,practice,practice_5,,/+/The young lady * sent a red rose * became * really embarrassed./,Did the lady send a red rose?,N,,1,5,2,10,3,1,Y,5651,0,300,1,1,0.5000,0.5000,300,300,183,483,2,242
201,1,p5,practice,practice_5,,/+/The young lady * sent a red rose * became * really embarrassed./,Did the lady send a red rose?,N,,1,5,2,10,4,2,Y,5651,0,3430,1,0,0.5000,0.0000,9053,4251,821,4251,2,2126
