"","id","item","answer"
"1","debugQAPTY0","gender","female"
"2","debugQAPTY0","age","33"
"3","debugQAPTY0","engagement","5"
"4","debugQAPTY0","difficulty","5"
"5","debugYDSVH7","gender","male"
"6","debugYDSVH7","age","60"
"7","debugYDSVH7","engagement","3"
"8","debugYDSVH7","difficulty","2"
"9","3TAYZSBPLMB1NE55LEM3TZBJ6DO2SP","gender","female"
"10","3TAYZSBPLMB1NE55LEM3TZBJ6DO2SP","age","23"
"11","3TAYZSBPLMB1NE55LEM3TZBJ6DO2SP","engagement","5"
"12","3TAYZSBPLMB1NE55LEM3TZBJ6DO2SP","difficulty","5"
"13","debugXAK67N","gender","male"
"14","debugXAK67N","age","33"
"15","debugXAK67N","engagement","5"
"16","debugXAK67N","difficulty","5"
"17","debug1WX68Y","gender","female"
"18","debug1WX68Y","age","12"
"19","debug1WX68Y","engagement","5"
"20","debug1WX68Y","difficulty","5"
"21","3WETL7AQWUBP2U3DDINY529SQJT353","gender","female"
"22","3WETL7AQWUBP2U3DDINY529SQJT353","age","35"
"23","3WETL7AQWUBP2U3DDINY529SQJT353","engagement","8"
"24","3WETL7AQWUBP2U3DDINY529SQJT353","difficulty","3"
"25","3L4D84MIL0VC31PXH5GWO2QYZEGHJV","gender","male"
"26","3L4D84MIL0VC31PXH5GWO2QYZEGHJV","age","6"
"27","3L4D84MIL0VC31PXH5GWO2QYZEGHJV","engagement","5"
"28","3L4D84MIL0VC31PXH5GWO2QYZEGHJV","difficulty","5"
"29","3OVR4I9USQMZDC5FXOGMRETG842Q4P","gender","no"
"30","3OVR4I9USQMZDC5FXOGMRETG842Q4P","age","13"
"31","3OVR4I9USQMZDC5FXOGMRETG842Q4P","engagement","4"
"32","3OVR4I9USQMZDC5FXOGMRETG842Q4P","difficulty","3"
"33","38BQUHLA9X3CWQH5OFOCA7IP7L3OMT","gender","male"
"34","38BQUHLA9X3CWQH5OFOCA7IP7L3OMT","age","31"
"35","38BQUHLA9X3CWQH5OFOCA7IP7L3OMT","engagement","6"
"36","38BQUHLA9X3CWQH5OFOCA7IP7L3OMT","difficulty","4"
"37","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU","gender","Male"
"38","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU","age","25"
"39","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU","engagement","8"
"40","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU","difficulty","1"
"41","33IZTU6J8242OU82937WJP5FJNBXSJ","gender","female"
"42","33IZTU6J8242OU82937WJP5FJNBXSJ","age","0"
"43","33IZTU6J8242OU82937WJP5FJNBXSJ","engagement","5"
"44","33IZTU6J8242OU82937WJP5FJNBXSJ","difficulty","5"
"45","debug1XD0RB","gender","female"
"46","debug1XD0RB","age","35"
"47","debug1XD0RB","engagement","3"
"48","debug1XD0RB","difficulty","6"
"49","37M28K1J0RGXTEHJBZ647G3UMJQJAM","gender","female"
"50","37M28K1J0RGXTEHJBZ647G3UMJQJAM","age","54"
"51","37M28K1J0RGXTEHJBZ647G3UMJQJAM","engagement","5"
"52","37M28K1J0RGXTEHJBZ647G3UMJQJAM","difficulty","5"
"53","3180JW2OT5F0N852G3FNZ5N8U5P5J2","gender","male"
"54","3180JW2OT5F0N852G3FNZ5N8U5P5J2","age","5"
"55","3180JW2OT5F0N852G3FNZ5N8U5P5J2","engagement","5"
"56","3180JW2OT5F0N852G3FNZ5N8U5P5J2","difficulty","5"
"57","351SEKWQS1KLSTQGY6AYD93HBGIDMM","gender","female"
"58","351SEKWQS1KLSTQGY6AYD93HBGIDMM","age","17"
"59","351SEKWQS1KLSTQGY6AYD93HBGIDMM","engagement","5"
"60","351SEKWQS1KLSTQGY6AYD93HBGIDMM","difficulty","5"
"61","3JWH6J9I9TGYVEDWWBYSVY4HDLGNBP","gender","male"
"62","3JWH6J9I9TGYVEDWWBYSVY4HDLGNBP","age","43"
"63","3JWH6J9I9TGYVEDWWBYSVY4HDLGNBP","engagement","5"
"64","3JWH6J9I9TGYVEDWWBYSVY4HDLGNBP","difficulty","5"
"65","3OJSZ2ATDTZ73D40FUQOIJL8UWC57S","gender","female"
"66","3OJSZ2ATDTZ73D40FUQOIJL8UWC57S","age","47"
"67","3OJSZ2ATDTZ73D40FUQOIJL8UWC57S","engagement","10"
"68","3OJSZ2ATDTZ73D40FUQOIJL8UWC57S","difficulty","5"
"69","3KGTPGBS6YOH2RX9AJH1U4WGIXJ2UR","gender","female"
"70","3KGTPGBS6YOH2RX9AJH1U4WGIXJ2UR","age","50"
"71","3KGTPGBS6YOH2RX9AJH1U4WGIXJ2UR","engagement","9"
