"","dat_Subject","list","exp","trial","con","fab_stimulus","fab_question","fab_key","qtype","id","fab_instruction","dat_Trial","dat_Window","dat_LoopNumber","dat_LoopPosition","dat_LoopSum","dat_AreaNumber","dat_AreaPosition","dat_AreaSum","dat_Ans","dat_AnsReactionTime","dat_Accuracy","dat_GD","dat_NRO","dat_NRI","dat_PRO","dat_PRI","dat_RPD","dat_SRPD","dat_RRT","dat_TRT","dat_NOF","dat_MFD"
"1","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.1,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./","Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes)","Y","prac","prac1",NA,1,"Ready? (the backward key: 'O'; the forward key: 'P')<br>",1,1,1,1,1,1,"Y",2930,1,11418,0,0,0,0,11418,11418,0,11418,1,11418
"2","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.1,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./","Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes)","Y","prac","prac1",NA,1,"Harry's girlfriend turned down his invitation.",2,1,2,1,1,2,"Y",2930,1,5805,0,2,0,0.6667,5805,5805,439,6244,3,2081
"3","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.1,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./","Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes)","Y","prac","prac1",NA,1,"He decided not to go out with her any more.",2,2,2,1,2,2,"Y",2930,1,123,2,0,0.6667,0,1069,630,507,630,3,210
"4","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.2,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./","Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes)","N","prac","prac2",NA,2,"Ready? (the backward key: 'O'; the forward key: 'P')<br>",1,1,1,1,1,1,"Y",478,0,1664,0,0,0,0,1664,1664,0,1664,1,1664
"5","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.2,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./","Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes)","N","prac","prac2",NA,2,"Hoping to buy a new tent&#44 the smart brothers saved the money.",2,1,2,1,1,2,"Y",478,0,326,0,0,0,0,326,326,0,326,1,326
"6","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.2,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./","Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes)","N","prac","prac2",NA,2,"They kept it in their bedroom.",2,2,2,1,2,2,"Y",478,0,214,0,0,0,0,214,214,0,214,1,214
"7","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.3,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./","Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes)","Y","prac","prac3",NA,3,"Ready? (the backward key: 'O'; the forward key: 'P')<br>",1,1,1,1,1,1,"Y",456,1,190,0,0,0,0,190,190,0,190,1,190
"8","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.3,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./","Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes)","Y","prac","prac3",NA,3,"John came back home from the city a while ago.",2,1,2,1,1,2,"Y",456,1,192,0,0,0,0,192,192,0,192,1,192
"9","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.3,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./","Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes)","Y","prac","prac3",NA,3,"Frantically he searched through the medicine cabinet.",2,2,2,1,2,2,"Y",456,1,191,0,0,0,0,191,191,0,191,1,191
"10","3PB5A5BD0W95JATKWQ9FMGCXLUT7GU",4,"prac",0.4,"prac","/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The college student knew she was not ready for the test | she was going to take early Monday./","Did the college student know she was not ready for the class?<br>('O' for no; 'P' for yes)","N","prac","prac4",NA,4,"Ready? (the backward key: 'O'; the forward key: 'P')<br>",1,1,1,1,1,1,"N",444,1,168,0,0,0,0,168,168,0,168,1,168
