list,exp,trial,con,fab_stimulus,fab_question,fab_key,qtype,id,fab_instruction
,,,,,,,,,ins1.jpg
,,,,,,,,,ins2.jpg
3,prac,0.1,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Harry's girlfriend turned down his invitation. |He decided not to go out with her any more./,Was Harry turned down by his girlfriend? <br>('O' for no; 'P' for yes),Y,prac,prac1,ins3.jpg
3,prac,0.2,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to buy a new tent&#44 the smart brothers saved the money. |They kept it in their bedroom./,Did the brothers keep the money in their kitchen?<br>('O' for no; 'P' for yes),N,prac,prac2,
3,prac,0.3,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /John came back home from the city a while ago. |Frantically he searched through the medicine cabinet./,Did John search through the medicine cabinet?<br>('O' for no; 'P' for yes),Y,prac,prac3,
3,prac,0.4,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The college student knew she was not ready for the test | she was going to take early Monday./,Did the college student know she was not ready for the class?<br>('O' for no; 'P' for yes),N,prac,prac4,
3,prac,0.5,prac,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Lisa wanted to live closer to her new office. |She opened the paper to the apartment listing./,Did Lisa open the paper to hunt a new job?<br>('O' for no; 'P' for yes),N,prac,prac5,
3,b,1,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The paramedics ran out of the hospital |very quickly and went to the scene of the car crash./,Did the paramedics go to the location of the car crash?<br>('O' for no; 'P' for yes),Y,second,b_15,ins4.jpg
3,a,2,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Tony's friend suddenly pushed him into a pond. |He walked home&#44 soaking wet&#44 to change his clothes./,Did Tony's friend push him into a pond?<br>('O' for no; 'P' for yes),Y,first,a_7,
3,b,3,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The taxidermist stuffed a variety of small animals. |Most of them had been hunting trophies./,Did the taxidermist stuff a variety of dolls?<br>('O' for no; 'P' for yes),N,first,b_8,
3,a,4,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Rose came back to her apartment after work. |She found herself too frightened to move./,Did Rose find herself too frightened to speak?<br>('O' for no; 'P' for yes),N,second,a_13,
3,a,5,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Richard left home early after eating breakfast. |He spent a whole day shopping for the present./,Did Richard spend a whole day shopping?<br>('O' for no; 'P' for yes),Y,second,a_16,
3,b,6,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The policeman tried to find the contraband |the smuggler had hidden in his daughter's doll./,Did the policeman try to find the contraband?<br>('O' for no; 'P' for yes),Y,first,b_1,
3,a,7,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Sharon decided to buy a foreign sports car. |She went to the bank hoping to get a loan./,Did Sharon decide to buy a pickup truck?<br>('O' for no; 'P' for yes),N,first,a_2,
3,b,8,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /In Hollywood she saw several celebrities. |Many had recently starred in her favorite film./,Had the celebrities starred in her favorite film? <br>('O' for no; 'P' for yes),Y,second,b_12,
3,a,9,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Ann was falling behind in her schoolwork. |She decided to study harder to catch up./,Did Ann decide to ask for a favor from the teacher?<br>('O' for no; 'P' for yes),N,second,a_11,
3,a,10,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Jake majored in engineering in Vermont. |He joined the Peace Corps after graduation./,Did Jake join the Peace Corps?<br>('O' for no; 'P' for yes),Y,second,a_19,
3,b,11,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The jester was employed by a king as a professional fool |to be an amusement to the court./,Was the jester employed by a princess?<br>('O' for no; 'P' for yes),N,first,b_9,
3,a,12,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Bill wanted to major in engineering. |He applied to a program at MIT./,Did Bill want to major in engineering?<br>('O' for no; 'P' for yes),Y,first,a_9,
3,b,13,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /The pilot took off his headset. |He spoke with the new flight attendant about the time of arrival./,Did the pilot take off his headset?<br>('O' for no; 'P' for yes),Y,first,b_5,
3,b,14,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Hoping to finish the film&#44 the director worked through the night. |He skipped his evening meal./,Did the producer skip his evening meal?<br>('O' for no; 'P' for yes),N,second,b_17,
3,a,15,non_causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Bob had his cleaning all done in the morning. |He turned on the TV for a weather report./,Did Bob clean last night?<br>('O' for no; 'P' for yes),N,first,a_1,
3,b,16,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Before their act&#44 the circus lions wanted the fresh meat |the trainers had kept just out of reach./,Did the circus lions want the meat from the audience?<br>('O' for no; 'P' for yes),N,second,b_19,
3,b,17,SNT,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /A jack can be very useful to have in your trunk. |It can raise your car if you have a flat tire./,Can a jack be useful?<br>('O' for no; 'P' for yes),Y,first,b_3,
3,b,18,MIN,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Grunions are fish that migrate along the West Coast |to spawn on sandy beaches in the spring./,Do Grunions spawn on sandy beaches in the summer?<br>('O' for no; 'P' for yes),N,second,b_20,
3,a,19,causal,/Ready? (the backward key: 'O'; the forward key: 'P')<br> /Ed's father opposed his plan for the future. |They had a heated discussion until midnight./,Did Ed's father oppose his plan?<br>('O' for no; 'P' for yes),Y,first,a_10,
